season,playerId,player,position,team,conference,category,statType,stat
2014,501545,Brian Vogler,TE,Alabama,SEC,receiving,LONG,5
2014,501545,Brian Vogler,TE,Alabama,SEC,receiving,REC,6
2014,501545,Brian Vogler,TE,Alabama,SEC,receiving,TD,1
2014,501545,Brian Vogler,TE,Alabama,SEC,receiving,YDS,27
2014,501545,Brian Vogler,TE,Alabama,SEC,receiving,YPR,4.5
2014,504027,Jalston Fowler,RB,Alabama,SEC,receiving,LONG,35
2014,504027,Jalston Fowler,RB,Alabama,SEC,receiving,REC,11
2014,504027,Jalston Fowler,RB,Alabama,SEC,receiving,TD,2
2014,504027,Jalston Fowler,RB,Alabama,SEC,receiving,YDS,129
2014,504027,Jalston Fowler,RB,Alabama,SEC,receiving,YPR,11.7
2014,504027,Jalston Fowler,RB,Alabama,SEC,rushing,CAR,12
2014,504027,Jalston Fowler,RB,Alabama,SEC,rushing,LONG,21
2014,504027,Jalston Fowler,RB,Alabama,SEC,rushing,TD,0
2014,504027,Jalston Fowler,RB,Alabama,SEC,rushing,YDS,69
2014,504027,Jalston Fowler,RB,Alabama,SEC,rushing,YPC,5.8
2014,504050,Nick Perry,DB,Alabama,SEC,interceptions,AVG,12.0
2014,504050,Nick Perry,DB,Alabama,SEC,interceptions,INT,2
2014,504050,Nick Perry,DB,Alabama,SEC,interceptions,TD,0
2014,504050,Nick Perry,DB,Alabama,SEC,interceptions,YDS,24
2014,504052,Blake Sims,QB,Alabama,SEC,passing,ATT,391
2014,504052,Blake Sims,QB,Alabama,SEC,passing,COMPLETIONS,252
2014,504052,Blake Sims,QB,Alabama,SEC,passing,INT,10
2014,504052,Blake Sims,QB,Alabama,SEC,passing,PCT,0.645
2014,504052,Blake Sims,QB,Alabama,SEC,passing,TD,28
2014,504052,Blake Sims,QB,Alabama,SEC,passing,YDS,3487
2014,504052,Blake Sims,QB,Alabama,SEC,passing,YPA,8.9
2014,504052,Blake Sims,QB,Alabama,SEC,rushing,CAR,83
2014,504052,Blake Sims,QB,Alabama,SEC,rushing,LONG,43
2014,504052,Blake Sims,QB,Alabama,SEC,rushing,TD,7
2014,504052,Blake Sims,QB,Alabama,SEC,rushing,YDS,350
2014,504052,Blake Sims,QB,Alabama,SEC,rushing,YPC,4.2
2014,504057,DeAndrew White,WR,Alabama,SEC,kickReturns,AVG,1.0
2014,504057,DeAndrew White,WR,Alabama,SEC,kickReturns,LONG,1
2014,504057,DeAndrew White,WR,Alabama,SEC,kickReturns,NO,1
2014,504057,DeAndrew White,WR,Alabama,SEC,kickReturns,TD,0
2014,504057,DeAndrew White,WR,Alabama,SEC,kickReturns,YDS,1
2014,504057,DeAndrew White,WR,Alabama,SEC,receiving,LONG,58
2014,504057,DeAndrew White,WR,Alabama,SEC,receiving,REC,40
2014,504057,DeAndrew White,WR,Alabama,SEC,receiving,TD,4
2014,504057,DeAndrew White,WR,Alabama,SEC,receiving,YDS,504
2014,504057,DeAndrew White,WR,Alabama,SEC,receiving,YPR,12.6
2014,504057,DeAndrew White,WR,Alabama,SEC,rushing,CAR,2
2014,504057,DeAndrew White,WR,Alabama,SEC,rushing,LONG,0
2014,504057,DeAndrew White,WR,Alabama,SEC,rushing,TD,0
